epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.08684,0.73039,3.35693,1.08682,0.00639,1,0.28344,0.25824,0.29426,3.33829,0.85797,0.0001125,0.0001125,0.0001125
2,3.97057,0.52877,3.03479,0.97311,0.01298,1,0.45165,0.42403,0.26524,3.29888,0.83776,0.000228095,0.000228095,0.000228095
3,6.04526,0.55393,2.72364,1.00356,0.01363,1,0.38962,0.33555,0.31563,3.27013,0.90213,0.00033379,0.00033379,0.00033379
4,8.26939,0.60577,2.37456,1.01343,0.00896,1,0.70549,0.5395,0.42574,3.15827,0.89976,0.000429585,0.000429585,0.000429585
5,10.2266,0.63948,1.99814,1.02393,0.00539,1,0.82625,0.76739,0.35002,2.9501,0.89462,0.00051548,0.00051548,0.00051548
6,12.2341,0.5949,1.68479,1.00893,0.76482,0.79868,0.87833,0.76365,0.55061,2.59423,1.01742,0.000591475,0.000591475,0.000591475
7,13.9551,0.54993,1.4342,0.95388,0.73103,0.60151,0.94143,0.79114,0.46505,2.21282,0.96518,0.00065757,0.00065757,0.00065757
8,15.5304,0.53582,1.37623,0.96851,0.80777,0.59448,0.88475,0.79692,0.41908,2.46764,0.89835,0.000713765,0.000713765,0.000713765
9,16.9735,0.55199,1.28862,0.9609,0.68494,0.60106,0.81894,0.70678,0.45789,2.5154,0.96157,0.00076006,0.00076006,0.00076006
10,18.4791,0.53699,1.12003,0.93393,0.95862,0.46636,0.75096,0.67335,0.42683,2.51585,0.91202,0.000796455,0.000796455,0.000796455
11,19.8531,0.52779,1.1793,0.94984,0.96133,0.41545,0.76538,0.66746,0.41912,2.46201,0.93024,0.000755,0.000755,0.000755
12,21.2149,0.53121,1.15448,0.97131,0.72907,0.99125,0.96188,0.88812,0.3636,1.48429,0.85815,0.0007055,0.0007055,0.0007055
13,22.7089,0.52464,1.10695,0.95302,0.91048,0.65396,0.75044,0.70113,0.38147,1.60657,0.86264,0.000656,0.000656,0.000656
14,24.0079,0.51833,1.10878,0.93461,0.87254,1,0.97,0.91681,0.34682,1.24685,0.85947,0.0006065,0.0006065,0.0006065
15,25.399,0.47091,1.02077,0.92324,0.79545,1,0.9575,0.91602,0.3613,1.16245,0.86795,0.000557,0.000557,0.000557
16,31.1144,0.37662,1.62576,0.8964,0.73541,0.88408,0.97,0.92015,0.39187,1.60944,0.86669,0.0005075,0.0005075,0.0005075
17,33.4024,0.35618,1.55512,0.86864,0.82667,0.92716,0.9575,0.85022,0.39999,1.51022,0.86953,0.000458,0.000458,0.000458
18,35.2647,0.32989,1.35598,0.86393,0.76593,1,0.97,0.88124,0.45251,1.30069,0.96607,0.0004085,0.0004085,0.0004085
19,37.3249,0.34422,1.38406,0.87778,0.91391,1,0.97,0.88416,0.3554,1.08258,0.88788,0.000359,0.000359,0.000359
20,39.328,0.32796,1.26941,0.87873,0.91818,1,0.9575,0.89735,0.32328,1.05539,0.86149,0.0003095,0.0003095,0.0003095
21,41.1677,0.3123,1.24725,0.8589,0.89057,0.98615,0.9825,0.95558,0.31702,1.07067,0.85016,0.00026,0.00026,0.00026
22,42.8357,0.29335,1.18877,0.81296,0.89873,0.99876,0.97,0.94513,0.30505,1.04379,0.82859,0.0002105,0.0002105,0.0002105
23,44.1782,0.29394,1.16653,0.83579,0.91143,1,0.9825,0.93694,0.30604,0.96157,0.8331,0.000161,0.000161,0.000161
24,45.5026,0.29818,1.1422,0.86508,0.91044,0.9995,0.9575,0.90635,0.29183,0.91903,0.83801,0.0001115,0.0001115,0.0001115
25,46.7884,0.28265,1.10458,0.83457,0.92131,1,0.94525,0.90789,0.28636,0.92217,0.83187,6.2e-05,6.2e-05,6.2e-05
