epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,59.8803,0.38877,0.58146,0.89307,0.96436,0.98957,0.995,0.95764,0.30661,0.4738,0.8299,0.00038375,0.00038375,0.00038375
44,61.4642,0.38904,0.57994,0.8961,0.94952,0.99868,0.995,0.94828,0.28393,0.51918,0.82559,0.000363125,0.000363125,0.000363125
45,63.1205,0.36724,0.57905,0.89905,0.90693,0.97619,0.995,0.94828,0.27175,0.52712,0.81947,0.0003425,0.0003425,0.0003425
46,64.6261,0.36958,0.54238,0.8975,0.96653,1,0.995,0.97472,0.27634,0.45734,0.81848,0.000321875,0.000321875,0.000321875
47,66.6026,0.37666,0.52228,0.90896,0.90511,1,0.995,0.95924,0.32136,0.4828,0.83087,0.00030125,0.00030125,0.00030125
48,67.8759,0.38158,0.54766,0.88491,0.91756,1,0.995,0.95145,0.27845,0.46534,0.82875,0.000280625,0.000280625,0.000280625
49,69.0865,0.36783,0.56086,0.8946,0.94656,1,0.995,0.94385,0.2827,0.45082,0.8241,0.00026,0.00026,0.00026
50,70.3303,0.37229,0.52881,0.88473,0.93495,0.97858,0.995,0.97633,0.27136,0.46774,0.81997,0.000239375,0.000239375,0.000239375
51,76.1179,0.26695,0.7971,0.8383,0.96394,0.92507,0.995,0.94321,0.27388,0.53711,0.81914,0.00021875,0.00021875,0.00021875
52,78.1298,0.25429,0.71416,0.82463,0.92119,0.90427,0.97438,0.93701,0.27474,0.90612,0.82339,0.000198125,0.000198125,0.000198125
53,79.9793,0.24694,0.73121,0.84682,0.89292,0.91667,0.97438,0.92463,0.26233,0.75539,0.81489,0.0001775,0.0001775,0.0001775
54,82.3083,0.25443,0.68888,0.84612,0.84032,1,0.995,0.97013,0.22997,0.50336,0.80281,0.000156875,0.000156875,0.000156875
55,84.1265,0.2425,0.64367,0.82652,0.83246,1,0.995,0.97013,0.23855,0.48633,0.80071,0.00013625,0.00013625,0.00013625
56,85.7706,0.24042,0.63206,0.82417,0.88925,1,0.995,0.97013,0.25169,0.48131,0.806,0.000115625,0.000115625,0.000115625
57,87.3058,0.23349,0.61404,0.81674,0.90815,1,0.995,0.995,0.25582,0.48056,0.81364,9.5e-05,9.5e-05,9.5e-05
58,88.893,0.24382,0.63084,0.81723,0.93596,1,0.995,0.97013,0.2442,0.47827,0.81118,7.4375e-05,7.4375e-05,7.4375e-05
59,90.3359,0.21818,0.62112,0.82739,0.93825,1,0.995,0.97013,0.2386,0.47986,0.80908,5.375e-05,5.375e-05,5.375e-05
60,91.6488,0.22496,0.60503,0.84496,0.94455,1,0.995,0.9432,0.23984,0.4717,0.80817,3.3125e-05,3.3125e-05,3.3125e-05
