epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.16853,0.73039,3.35693,1.08682,0.00639,1,0.28344,0.25824,0.29426,3.33829,0.85797,0.0001125,0.0001125,0.0001125
2,3.98975,0.53286,3.01297,0.96902,0.0124,1,0.44922,0.42143,0.2784,3.30644,0.8533,0.000231622,0.000231622,0.000231622
3,6.20755,0.56784,2.66748,1.00168,0.01353,1,0.55745,0.46085,0.32702,3.26536,0.89296,0.000344556,0.000344556,0.000344556
4,8.12102,0.60978,2.35476,1.00897,0.0072,1,0.75411,0.566,0.44129,3.12047,0.92031,0.000451303,0.000451303,0.000451303
5,9.93405,0.66446,2.05093,1.02793,0.00553,1,0.95354,0.75465,0.41971,2.94399,0.93353,0.000551863,0.000551863,0.000551863
6,11.7535,0.55292,1.69316,0.98735,0.0041,1,0.96821,0.85826,0.5611,2.6568,1.005,0.000646234,0.000646234,0.000646234
7,13.4129,0.57803,1.45631,0.96368,0.74847,0.88553,0.94938,0.82266,0.55814,2.14044,1.03435,0.000734419,0.000734419,0.000734419
8,14.8595,0.55977,1.41113,0.97967,0.71229,0.79168,0.87062,0.76522,0.54944,2.2551,1.04064,0.000816416,0.000816416,0.000816416
9,16.2926,0.57768,1.28402,0.96803,0.71023,0.56343,0.9165,0.78008,0.48249,1.98022,0.93959,0.000892225,0.000892225,0.000892225
10,17.8037,0.57389,1.14481,0.95586,0.6904,0.92389,0.94759,0.88867,0.42451,1.81251,0.90869,0.000961847,0.000961847,0.000961847
11,19.333,0.52108,1.18498,0.95885,0.7795,0.96793,0.97417,0.88914,0.38576,1.95733,0.87377,0.000940625,0.000940625,0.000940625
12,20.6923,0.5493,1.14597,0.97575,0.71249,0.87139,0.97438,0.87124,0.42853,1.86193,0.88493,0.000909688,0.000909688,0.000909688
13,21.9897,0.56768,1.20263,0.96241,0.61032,0.875,0.9325,0.87412,0.37151,1.82126,0.90502,0.00087875,0.00087875,0.00087875
14,23.2619,0.51731,1.09225,0.94394,0.78395,0.98575,0.95333,0.898,0.38074,1.59022,0.8733,0.000847813,0.000847813,0.000847813
