epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.06378,0.73039,3.35693,1.08682,0.00639,1,0.28344,0.25824,0.29426,3.33829,0.85797,0.0001125,0.0001125,0.0001125
2,3.97047,0.53635,3.01984,0.97244,0.01056,1,0.43148,0.41815,0.25207,3.29539,0.84465,0.000221825,0.000221825,0.000221825
3,6.06134,0.57093,2.71068,1.00831,0.01373,1,0.40232,0.36971,0.30453,3.27691,0.89,0.00031465,0.00031465,0.00031465
4,8.05177,0.58387,2.41558,0.99981,0.00924,1,0.39655,0.35577,0.40403,3.17519,0.88606,0.000390975,0.000390975,0.000390975
5,10.0373,0.6559,2.06556,1.01385,0.00602,1,0.60519,0.52572,0.41593,3.00342,0.91616,0.0004508,0.0004508,0.0004508
6,15.8427,0.47938,2.21974,0.95547,0.00514,1,0.72932,0.64815,0.441,2.94166,0.98278,0.000494125,0.000494125,0.000494125
7,17.8456,0.43831,2.1777,0.94058,0.00372,1,0.87736,0.79471,0.55647,2.80176,0.9969,0.00052095,0.00052095,0.00052095
8,19.9921,0.40206,1.89907,0.89412,0.88718,0.53981,0.89778,0.69983,0.69295,2.54513,1.09407,0.000531275,0.000531275,0.000531275
9,21.8429,0.38655,1.81558,0.88853,0.95162,0.83095,0.995,0.91628,0.38645,2.32158,0.86643,0.0005251,0.0005251,0.0005251
10,24.0894,0.3631,1.79676,0.88506,0.84224,0.98082,0.995,0.93869,0.35525,1.92616,0.86311,0.000502425,0.000502425,0.000502425
11,25.826,0.36562,1.73149,0.85222,0.89415,0.96213,0.995,0.92865,0.37656,1.57216,0.86925,0.000425,0.000425,0.000425
12,27.4405,0.33976,1.58163,0.88307,0.81127,0.96953,0.97,0.94512,0.31266,1.71686,0.84774,0.0003425,0.0003425,0.0003425
13,28.9161,0.32207,1.54163,0.8598,0.75546,1,0.995,0.94203,0.32896,1.6273,0.83884,0.00026,0.00026,0.00026
14,30.2807,0.3208,1.47956,0.87872,0.76759,0.99589,0.995,0.97628,0.30333,1.48492,0.82365,0.0001775,0.0001775,0.0001775
15,31.5595,0.32353,1.51463,0.84885,0.83928,0.95545,0.995,0.98251,0.27658,1.32464,0.81401,9.5e-05,9.5e-05,9.5e-05
