epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.05968,0.73039,3.35693,1.08682,0.00639,1,0.28344,0.25824,0.29426,3.33829,0.85797,0.0001125,0.0001125,0.0001125
2,3.88641,0.52591,3.02875,0.97395,0.01053,1,0.47387,0.45024,0.27547,3.29843,0.84874,0.000225744,0.000225744,0.000225744
3,5.79713,0.56954,2.7355,1.01821,0.01149,1,0.3226,0.30503,0.28633,3.25607,0.86721,0.000326613,0.000326613,0.000326613
4,7.72024,0.58046,2.38633,1.00601,0.00722,1,0.62469,0.56158,0.39777,3.18155,0.90075,0.000415106,0.000415106,0.000415106
5,9.58728,0.64535,2.01833,1.02856,0.00487,1,0.65571,0.56355,0.43475,3.02033,1.02045,0.000491225,0.000491225,0.000491225
6,11.371,0.58953,1.70691,0.99886,0.00462,1,0.87771,0.76567,0.44906,2.91458,1.00133,0.000554969,0.000554969,0.000554969
7,13.0278,0.54555,1.45132,0.95519,0.84933,0.8591,0.9575,0.81305,0.46216,2.39456,0.93593,0.000606338,0.000606338,0.000606338
8,14.5915,0.54251,1.36498,0.96194,0.69732,0.63843,0.80438,0.70376,0.44917,2.45731,0.90734,0.000645331,0.000645331,0.000645331
9,15.947,0.5554,1.24133,0.95837,0.70159,0.9165,0.8375,0.76912,0.39694,2.05043,0.88925,0.00067195,0.00067195,0.00067195
10,17.3647,0.53812,1.13238,0.93528,0.8516,0.73283,0.80844,0.76283,0.38504,1.73175,0.87671,0.000686194,0.000686194,0.000686194
11,22.2369,0.43461,1.86347,0.92639,0.71756,0.79097,0.95375,0.85896,0.43879,2.36766,0.97633,0.00063125,0.00063125,0.00063125
12,24.379,0.43326,1.96741,0.91534,0.83892,0.75,0.95375,0.87366,0.36798,2.33892,0.88453,0.000569375,0.000569375,0.000569375
13,26.5926,0.38708,1.64593,0.92208,0.94078,0.95471,0.995,0.83211,0.55338,1.40503,1.04212,0.0005075,0.0005075,0.0005075
14,28.2302,0.3677,1.5826,0.88124,0.78676,1,0.995,0.93556,0.42374,1.20948,0.93771,0.000445625,0.000445625,0.000445625
15,30.153,0.37407,1.54348,0.87118,0.87557,1,0.995,0.92932,0.34676,1.09992,0.83996,0.00038375,0.00038375,0.00038375
16,31.8364,0.34864,1.47729,0.86704,0.81529,1,0.995,0.94999,0.32726,1.20343,0.86364,0.000321875,0.000321875,0.000321875
17,33.5028,0.32849,1.44658,0.86192,0.75674,1,0.9825,0.93568,0.34186,1.18149,0.87235,0.00026,0.00026,0.00026
18,35.0749,0.31766,1.36518,0.86953,0.88076,1,0.9575,0.92416,0.31888,1.09311,0.83748,0.000198125,0.000198125,0.000198125
19,36.3867,0.30756,1.32909,0.8681,0.91149,1,0.97,0.94877,0.28104,1.05485,0.81702,0.00013625,0.00013625,0.00013625
20,37.7971,0.30885,1.30216,0.86057,0.90267,1,0.97,0.94878,0.26466,1.03787,0.81448,7.4375e-05,7.4375e-05,7.4375e-05
